item,idx,task,answer,teacher_sheet,student_sheet,pred_teacher,pred_student,ok_teacher,ok_student,margin_teacher,margin_student,recall_traj,recall_P,recall_S,iou_kept,stem,window_end,evidence_gap,episodes_in_window,conc_teacher,conc_student,pct_kept,ckpt_teacher,ckpt_vit_lora,ckpt_student
sg_idx384_present_object_identification_easy,384,present_object_identification_easy,C,M1_teacher/sheets/sg_idx384_present_object_identification_easy.png,ViT-KD_raw_video/sheets/sg_idx384_present_object_identification_easy.png,C,C,True,True,0.8462,0.6421,0.5628,0.4964,0.5877,0.33,OP01-R07-Pizza,609.3,4.53,1,0.238,0.1968,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx288_present_object_attribute_recognition,288,present_object_attribute_recognition,C,M1_teacher/sheets/sg_idx288_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx288_present_object_attribute_recognition.png,C,C,True,True,0.283,0.6377,0.5386,0.5058,0.5645,0.3383,OP01-R07-Pizza,669.8,4.91,3,0.2152,0.2121,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx78_past_non_fixated_object_identification,78,past_non_fixated_object_identification,D,M1_teacher/sheets/sg_idx78_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx78_past_non_fixated_object_identification.png,D,D,True,True,0.7415,0.9398,0.5483,0.5051,0.5804,0.3377,OP01-R07-Pizza,608.3,5.53,1,0.2334,0.1965,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx80_past_non_fixated_object_identification,80,past_non_fixated_object_identification,D,M1_teacher/sheets/sg_idx80_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx80_past_non_fixated_object_identification.png,D,D,True,True,0.9937,0.9723,0.5121,0.4833,0.5674,0.3185,OP01-R07-Pizza,668.8,5.91,3,0.2221,0.2005,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx38_past_gaze_sequence_matching,38,past_gaze_sequence_matching,A,M1_teacher/sheets/sg_idx38_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx38_past_gaze_sequence_matching.png,A,A,True,True,0.909,0.9065,0.5676,0.508,0.5812,0.3403,OP04-R07-Pizza,235.2,2.3,2,0.2418,0.1715,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx37_past_gaze_sequence_matching,37,past_gaze_sequence_matching,D,M1_teacher/sheets/sg_idx37_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx37_past_gaze_sequence_matching.png,D,D,True,True,0.924,0.3313,0.5483,0.5058,0.5804,0.3383,OP04-R06-GreekSalad,139.0,1.29,2,0.2402,0.1822,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx287_present_object_attribute_recognition,287,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx287_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx287_present_object_attribute_recognition.png,D,D,True,True,0.99,0.7781,0.5072,0.4877,0.5725,0.3223,OP01-R07-Pizza,639.0,5.08,2,0.2272,0.1873,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx289_present_object_attribute_recognition,289,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx289_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx289_present_object_attribute_recognition.png,D,D,True,True,0.9959,0.995,0.5145,0.4964,0.579,0.33,OP01-R07-Pizza,772.0,6.21,4,0.2251,0.1847,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx290_present_object_attribute_recognition,290,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx290_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx290_present_object_attribute_recognition.png,D,D,True,True,0.6546,0.8801,0.442,0.4609,0.5312,0.2993,OP01-R07-Pizza,896.0,7.04,5,0.2108,0.183,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx68_past_non_fixated_object_identification,68,past_non_fixated_object_identification,D,M1_teacher/sheets/sg_idx68_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx68_past_non_fixated_object_identification.png,D,D,True,True,0.9639,0.8707,0.4348,0.4674,0.5333,0.3048,OP01-R02-TurkeySandwich,335.4,3.48,1,0.2045,0.1721,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
