figure,layout,source,idx,task,answer,flags,follow,iou_overlay,iou_nooverlay,iou_content_overlay,iou_content_nooverlay,n_correct,agree_overlay_exact,pred_teacher,pred_student_overlay,pred_student_nooverlay,margin_teacher,margin_student_overlay,margin_student_nooverlay,pct_kept,strip,ckpt_teacher,ckpt_student_overlay,ckpt_student_nooverlay
EgoGazeVQA/figures/eg_T1O1N1_idx211_spatial.png,EgoGazeVQA/layout/eg_T1O1N1_idx211_spatial.json,eg,211,spatial,E,T1O1N1,0.2762,0.3333,0.2762,1.0,0.2175,3,0.5,E,E,E,0.3661,0.9784,0.9735,9.984,0 9 18 27 36 45,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx136_causal.png,EgoGazeVQA/layout/eg_T1O1N1_idx136_causal.json,eg,136,causal,C,T1O1N1,0.2384,0.2566,0.2384,1.0,0.1676,3,0.4085,C,C,C,0.9248,0.9957,0.9969,9.975,0 6 13 19 26 32,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx139_spatial.png,EgoGazeVQA/layout/eg_T1O1N1_idx139_spatial.json,eg,139,spatial,C,T1O1N1,0.2384,0.2679,0.2384,1.0,0.1676,3,0.4225,C,C,C,0.8072,0.8906,0.8066,9.975,0 6 13 19 26 32,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx468_causal.png,EgoGazeVQA/layout/eg_T1O1N1_idx468_causal.json,eg,468,causal,B,T1O1N1,0.2285,0.2508,0.2285,1.0,0.2197,3,0.401,B,B,B,0.5136,0.9901,0.9874,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx161_causal.png,EgoGazeVQA/layout/eg_T1O1N1_idx161_causal.json,eg,161,causal,B,T1O1N1,0.2271,0.2632,0.2271,1.0,0.1975,3,0.4167,B,B,B,0.8926,0.9978,0.999,9.994,0 12 25 37 50 62,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx77_causal.png,EgoGazeVQA/layout/eg_T1O1N1_idx77_causal.json,eg,77,causal,C,T1O1N1,0.207,0.2798,0.207,1.0,0.1955,3,0.4372,C,C,C,0.9138,0.9931,0.997,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx442_temporal.png,EgoGazeVQA/layout/eg_T1O1N1_idx442_temporal.json,eg,442,temporal,E,T1O1N1,0.2017,0.247,0.2017,1.0,0.2212,3,0.3961,E,E,E,0.1936,0.8543,0.9077,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx175_spatial.png,EgoGazeVQA/layout/eg_T1O1N1_idx175_spatial.json,eg,175,spatial,C,T1O1N1,0.1948,0.2877,0.1948,1.0,0.2298,3,0.4469,C,C,C,0.5824,0.9462,0.9059,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx78_spatial.png,EgoGazeVQA/layout/eg_T1O1N1_idx78_spatial.json,eg,78,spatial,D,T1O1N1,0.1948,0.2622,0.1948,1.0,0.1904,3,0.4155,D,D,D,0.3664,0.9882,0.899,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx331_temporal.png,EgoGazeVQA/layout/eg_T1O1N1_idx331_temporal.json,eg,331,temporal,A,T1O1N1,0.1667,0.2399,0.1667,1.0,0.19,3,0.3869,A,A,A,0.2822,0.7436,0.6408,9.989,0 10 20 31 41 51,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx484_temporal.png,EgoGazeVQA/layout/eg_T1O1N1_idx484_temporal.json,eg,484,temporal,A,T1O1N1,0.1646,0.2584,0.1646,1.0,0.1824,3,0.4106,A,A,A,0.2887,0.2396,0.6197,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
EgoGazeVQA/figures/eg_T1O1N1_idx349_temporal.png,EgoGazeVQA/layout/eg_T1O1N1_idx349_temporal.json,eg,349,temporal,D,T1O1N1,0.158,0.2377,0.158,1.0,0.206,3,0.3841,D,D,D,0.3776,0.5366,0.915,9.983,0 13 25 38 50 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_EGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx301_present_object_attribute_recognition.png,StreamGaze/layout/sg_T1O1N1_idx301_present_object_attribute_recognition.json,sg,301,present_object_attribute_recognition,D,T1O1N1,0.3596,0.3916,0.3596,1.0,0.1716,3,0.5628,D,D,D,0.9477,0.9988,0.9504,9.983,0 31 36 43 58 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx384_present_object_identification_easy.png,StreamGaze/layout/sg_T1O1N1_idx384_present_object_identification_easy.json,sg,384,present_object_identification_easy,C,T1O1N1,0.3376,0.4251,0.3376,1.0,0.1941,3,0.5966,C,C,C,0.8044,0.9959,0.9701,9.983,0 14 26 38 49 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
